1	19216800000204	1542071397000	403,503	20781.66667,17290.00000	1126.05871,1372.17200	126.17310,128.68926	16.68405,26.01466
1	19216800000204	1542071398000	703	17811.25000	2022.90130	115.44698	28.28052
1	19216800000204	1542071399000	903,1003	19001.00000,18222.50000	1401.00000,1116.37393	117.34694,131.58621	0.00000,68.64413
1	19216800000204	1542071400000	1203	15017.60000	2613.89652	16.10857	16.46517
3	19216800000204	1542071426000	804	32472.00000	468.00000	525.64103	0.00000
3	19216800000204	1542071427000	505,405	35380.00000,37217.33333	2872.00000,4091.70782	481.92771,330.10003	0.00000,108.35590
3	19216800000204	1542071428000	205	45486.00000	0.00000	-1	119.29015
5	19216800000204	1542071437500	703,704	23700.00000,23275.50000	711.00000,286.50000	373.73737,353.53535	0.00000,20.20202
5	19216800000204	1542071438500	1003,1103,1104,1204	24404.50000,24288.00000,22184.00000,21168.00000	971.50000,1088.00000,1016.00000,0.00000	190.00000,175.29197,171.48694,91.19497	0.00000,14.70803,10.90300,91.19497
5	19216800000204	1542071439500	1204	12740.00000	0.00000	-1	0.00000
7	19216800000204	1542071462500	1104	24142.50000	1042.50000	105.88235	0.00000
7	19216800000204	1542071463500	903,804	23621.00000,22663.00000	640.25047,62.00000	244.89796,168.01304	40.81633,36.06859
7	19216800000204	1542071464500	604,504	23628.00000,25757.00000	1422.80568,137.00000	133.06786,115.87410	2.98656,20.18032
7	19216800000204	1542071465500	304,204	30823.66667,32003.00000	2700.11732,4187.00000	203.97536,150.38685	51.34378,104.93230
7	19216800000204	1542071466500	204	36190.00000	0.00000	-1	0.00000
9	19216800000204	1542071475000	803,903	21902.00000,22916.00000	398.00000,616.00000	556.96203,459.64043	0.00000,97.32159
11	19216800000204	1542071498500	1103	16046.00000	262.73941	28.21558	4.95977
11	19216800000204	1542071499500	1003,903,803	15041.50000,17191.00000,16923.50000	173.50000,1402.38868,1402.50000	105.26316,181.29107,209.49944	0.00000,101.20684,114.82488
11	19216800000204	1542071500500	703,702,603	15327.50000,14182.50000,16559.00000	870.50000,274.50000,1954.92046	293.33333,210.42506,121.56011	0.00000,82.90828,14.60900
