1	1	19216800000203	1541873329500	206,305,405,505	24726.00000,29609.66667,28736.00000,28205.50000	1836.00000,2453.92343,960.00000,429.50000	0.48546,0.55046,0.50167,0.45673	0.00381,0.04945,0.05006,0.00512	173.46939,237.33539,226.60966,166.00529	0.00000,45.37318,48.03823,12.56614	331.38954,0.73452,2.20260,350.90972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.50000,127.66667,120.00000,113.50000	4.50000,11.02522,8.00000,1.50000	225.50000,232.00000,240.00000,248.50000	7.50000,0.81650,8.00000,0.50000		
2	100	19216800000203	1541873329500	202,302,402	2716.66667,2981.00000,2854.66667	318.20050,181.00000,77.31034	1.02133,1.05427,0.89933	0.14489,0.16141,0.00916	296.83957,198.89476,215.81961	39.89512,58.04969,76.83945	354.64417,5.19443,347.00538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.66667,56.00000,50.66667	6.79869,6.00000,0.94281	51.66667,53.50000,56.33333	0.94281,2.50000,0.47140		
1	1	19216800000202	1541873337000	906,806,706,606,506,406	41017.50000,45394.00000,40428.66667,42304.00000,42582.00000,39396.00000	3622.50000,754.00000,4222.02995,4680.86488,4794.00000,1608.00000	0.53042,0.58530,0.50362,0.52020,0.56093,0.54851	0.04306,0.01182,0.07072,0.07048,0.03481,0.02239	219.69697,319.40731,298.76678,208.52136,277.68147,351.30785	0.00000,99.71034,97.90296,24.15388,39.21993,34.40644	188.36589,177.91743,179.14490,180.00000,175.91438,181.04163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.50000,163.00000,142.66667,148.33333,154.50000,147.00000	12.50000,3.00000,17.46107,18.26350,13.50000,6.00000	278.00000,278.50000,284.00000,285.66667,275.00000,268.00000	1.00000,0.50000,5.35413,3.85861,7.00000,0.00000		
2	100	19216800000202	1541873337000	1003,902,803,703,602,502,303	4000.50000,4157.50000,3874.00000,3850.00000,4306.00000,4366.66667,3390.00000	346.50000,189.50000,94.00000,70.00000,386.00000,820.03144,150.00000	1.00794,1.06375,0.90184,0.78571,0.90735,1.01078,0.94167	0.08730,0.03149,0.13041,0.01429,0.10735,0.08890,0.04167	181.81818,355.61497,410.09595,297.11421,268.60725,355.02573,495.87525	0.00000,173.79679,119.31581,6.33407,34.84102,157.50165,81.58954	191.30993,167.57406,187.27500,191.30993,180.00000,173.35472,180.97102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.50000,66.50000,59.00000,55.00000,62.50000,66.33333,56.50000	5.50000,2.50000,5.00000,1.00000,6.50000,9.17727,2.50000	63.00000,62.50000,66.00000,70.00000,69.00000,65.33333,60.00000	0.00000,0.50000,4.00000,0.00000,1.00000,3.77124,0.00000		
3	1	19216800000203	1541873341500	1102,1103	5474.50000,7897.50000	150.50000,1283.30384	0.36182,0.40781	0.00182,0.02613	19.41748,38.95420	0.00000,16.99457	56.30993,73.07249	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44.50000,56.62500	0.50000,5.99870	123.00000,138.62500	2.00000,9.41989		
4	100	19216800000203	1541873341500	1101	638.50000	38.35036	0.82925	0.03763	13.82026	9.77594	123.69007	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23.00000	1.00000	27.75000	0.82916		
3	1	19216800000203	1541873346000	404,304,205,105	15342.00000,14978.60000,13590.50000,11516.75000	894.00000,686.15147,626.01498,1068.29148	0.54602,0.57513,0.58635,0.55239	0.05764,0.02486,0.02198,0.03423	133.33333,111.64850,133.13211,-1	0.00000,26.06565,62.97102,51.63124	171.02737,176.87787,176.05481,165.96376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.50000,92.80000,89.25000,79.75000	7.50000,3.76298,3.26917,6.13901	168.00000,161.40000,152.25000,144.25000	4.00000,2.87054,3.03109,2.27761		
4	100	19216800000203	1541873346000	302,202,102,103	1329.50000,1218.00000,1101.00000,949.33333	90.23719,55.75303,77.07572,30.16989	1.13225,0.98333,1.00979,0.92708	0.19115,0.04243,0.03813,0.02946	106.83359,139.25596,145.56698,-1	61.78470,65.71577,91.90300,20.32520	177.20730,170.53768,165.96376,135.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.75000,34.60000,33.33333,29.66667	4.54835,1.35647,1.69967,0.94281	34.50000,35.20000,33.00000,32.00000	1.65831,0.74833,0.81650,0.00000		
5	1	19216800000203	1541873352000	307,407,507,607,707,807,907	29091.33333,28614.66667,29817.66667,28521.50000,29470.66667,31253.00000,28764.00000	2668.92754,1108.73542,1759.40792,633.50000,2701.94613,2021.00000,468.00000	0.56040,0.51465,0.49919,0.46776,0.46718,0.48803,0.43627	0.04019,0.03388,0.02371,0.01796,0.03480,0.02772,0.02405	250.94905,187.91668,273.11292,324.82517,210.88477,185.17081,279.24877	6.19381,46.05889,86.19691,66.08392,35.47596,11.25776,82.82020	9.83356,349.56252,356.42367,354.95755,4.92711,3.27049,355.60129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.66667,121.33333,122.00000,115.50000,117.33333,123.50000,112.00000	10.33871,6.18241,6.48074,3.50000,9.74109,7.50000,4.00000	227.66667,236.00000,244.33333,247.00000,251.00000,253.00000,257.00000	3.68179,4.32049,1.69967,2.00000,2.16025,1.00000,5.00000		
6	100	19216800000203	1541873352000	204,304,404,504,604,704,804,904	3878.00000,3910.66667,3934.00000,3902.00000,4065.00000,4160.00000,4010.66667,3956.00000	406.00000,330.72580,34.00000,2.82843,159.00000,64.00000,60.33978,12.00000	0.99130,1.00493,0.94591,0.94343,0.97691,0.98485,1.00034,0.91085	0.08807,0.05264,0.02284,0.02878,0.00722,0.01515,0.02593,0.05790	257.14286,239.01006,290.71743,310.54504,352.79720,274.58404,252.24650,282.43021	0.00000,13.77524,54.60631,83.51804,38.11189,40.10128,32.33401,15.18883	0.00000,358.21009,353.36749,353.38654,357.33700,3.17983,358.54978,358.09085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.00000,62.66667,61.00000,60.66667,63.00000,64.00000,63.33333,60.00000	6.00000,4.10961,1.00000,0.94281,1.00000,0.00000,0.94281,2.00000	62.50000,62.33333,64.50000,64.33333,64.50000,65.00000,63.33333,66.00000	0.50000,1.69967,0.50000,0.94281,1.50000,1.00000,0.94281,2.00000		
3	1	19216800000202	1541873353500	206,306,307,407,507	21335.66667,21998.00000,23650.50000,25524.33333,29853.66667	1093.04234,919.91739,874.50000,709.80013,3704.15607	0.55707,0.51152,0.47967,0.48008,0.50415	0.01904,0.03422,0.00478,0.01655,0.04831	196.76243,110.36223,63.18504,141.71742,184.00997	20.29184,77.46836,27.72405,41.39609,17.45879	1.02303,24.14554,20.85446,10.73890,6.88172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.00000,106.00000,106.50000,110.66667,122.66667	4.24264,4.32049,2.50000,2.35702,13.47426	195.66667,207.66667,222.00000,230.66667,243.00000	3.77124,8.05536,3.00000,5.43650,3.74166		
4	100	19216800000202	1541873353500	103,203,303,404,504	1872.00000,2142.00000,2433.33333,2903.33333,3468.66667	72.00000,242.83328,71.65349,325.01214,309.96917	1.44444,1.27044,0.84463,0.84157,0.88274	0.05556,0.29645,0.01021,0.01158,0.07189	156.86275,177.83206,134.59283,167.95248,212.28124	0.00000,50.98552,32.69451,78.09488,50.81218	348.69007,0.00000,10.61966,2.91084,6.88172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.00000,51.33333,45.33333,49.33333,55.33333	2.00000,3.77124,0.94281,2.49444,4.71405	36.00000,42.33333,53.66667,58.66667,62.66667	0.00000,8.25967,0.47140,3.68179,0.47140		
5	1	19216800000202	1541873359500	1107,1007,907	25747.25000,26713.00000,27709.50000	1389.49836,660.36959,934.50000	0.51643,0.51838,0.53284	0.00690,0.00761,0.00395	156.02837,193.58444,182.39416	127.39663,86.29639,73.41980	159.44395,175.36454,174.28941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115.25000,117.66667,121.50000	2.58602,1.88562,2.50000	223.25000,227.00000,228.00000	7.22409,2.82843,3.00000		
